School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Westchester Enriched Sciences Magnets-Envrnmntl Ntrl Sci Eng,90045,9-12,W,4-Nick Melvoin,7400 W Manchester Ave Los Angeles CA 90045,33.9577625,-118.4288879
Canoga Park Elementary,91303,K- 5,NW,3-Scott M Schmerelson,7438 Topanga Canyon Blvd Canoga Park CA 91303,34.2055234,-118.6055613
Wilton Place Elementary,90005,K- 5,W,2-Monica Garcia,745 S Wilton Pl Los Angeles CA 90005,34.0584479,-118.3146043
Gardner Street Elementary,90046,K- 5,W,4-Nick Melvoin,7450 Hawthorn Ave Los Angeles CA 90046,34.0996426,-118.3519932
Camellia Avenue Elementary DL Two-Way Im Spanish,91605,K- K,NE,6-Kelly Gonez,7451 Camellia Av North Hollywood CA 91605,34.205797100000005,-118.3818725
Robert Fulton College Preparatory School,91405,6-12,NE,6-Kelly Gonez,7477 Kester Ave Van Nuys CA 91405,34.2072963,-118.4577885
49th Street Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,750 E 49th St Los Angeles CA 90011,33.998533,-118.2617872
Walnut Park Middle School - Social Justice and Srvice Lrning,90255,6- 8,E,5-Jackie Goldberg,7500 Marbrisa Ave Walnut Park CA 90255,33.971560499999995,-118.2310073
Multicultural Learning Center,91303,K- 8,XR,3-Scott M Schmerelson,7510 De Soto Ave Canoga Park CA 91303,34.20668870000001,-118.5882281
Raymond Avenue Elementary,90044,K- 5,W,1-Dr George J McKenna III,7511 Raymond Ave Los Angeles CA 90044,33.9716915,-118.2992823
Hope Street Elementary,90255,K- 5,E,5-Jackie Goldberg,7560 State St Huntington Pk CA 90255,33.9691601,-118.2093947
Cowan Avenue Elementary,90045,K- 5,W,4-Nick Melvoin,7615 Cowan Ave Los Angeles CA 90045,33.97265429999999,-118.4054288
Pomelo Community Charter School,91304,K- 5,NW,3-Scott M Schmerelson,7633 March Ave West Hills CA 91304,34.208969700000004,-118.6430547
Julie Korenstein Elementary,91605,K- 5,NE,6-Kelly Gonez,7650 Ben Ave North Hollywood CA 91605,34.2097361,-118.3940828
John C Fremont Senior High,90003,9-12,S,7-Dr Richard A Vladovic,7676 S San Pedro St Los Angeles CA 90003,33.9695845,-118.266952
Melvin Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,7700 Melvin Ave Reseda CA 91335,34.209681,-118.5598509
Mount Lukens Continuation High,91042,9-12,NE,6-Kelly Gonez,7705 Summitrose St Tujunga CA 91042,34.259707299999995,-118.3009182
Paseo del Rey Elementary Natural Science Magnet,90293,K- 5,W,4-Nick Melvoin,7751 Paseo Del Rey Playa Del Rey CA 90293,33.9565362,-118.4337437
Whitman Continuation High,90036,9-12,W,4-Nick Melvoin,7795 Rosewood Ave Los Angeles CA 90036,34.0803709,-118.3597373
McKinley Avenue Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,7812 Mc Kinley Ave Los Angeles CA 90001,33.967977399999995,-118.2603893
Stagg Street Elementary,91406,K- 5,NW,6-Kelly Gonez,7839 Amestoy Ave Lake Balboa CA 91406,34.2129518,-118.50657920000002
John Hope Continuation High,90003,9-12,S,7-Dr Richard A Vladovic,7840 Towne Ave Los Angeles CA 90003,33.9677886,-118.26686709999998
Saticoy Elementary,91605,K- 5,NE,6-Kelly Gonez,7850 Ethel Ave North Hollywood CA 91605,34.212868,-118.415578
CTC - West,90046,12-12,W,4-Nick Melvoin,7850 Melrose Ave Los Angeles CA 90046,34.082198600000005,-118.35979209999998
Alliance Bloomfield Tech High School,90255,9-12,XR,5-Jackie Goldberg,7907 Santa Fe Ave Huntington Park CA 90255,33.9671524,-118.23061509999998
James Jordan Middle School,91306,6- 8,XR,3-Scott M Schmerelson,7911 Winnetka Ave Winnetka CA 91306,34.214487299999995,-118.5720986
Strathern Street Elementary,91605,K- 5,NE,6-Kelly Gonez,7939 St Clair Ave North Hollywood CA 91605,34.214971899999995,-118.401119
Ranchito Avenue Elementary DL Two-Way Im Spanish,91402,K- K,NE,6-Kelly Gonez,7940 Ranchito Av Panorama City CA 91402,34.2153344,-118.4343055
Palisades Charter Elementary,90272,K- 5,W,4-Nick Melvoin,800 Via De La Paz Pacific Palisades CA 90272,34.0456282,-118.5271369
Glenwood Elementary,91352,K- 5,NE,6-Kelly Gonez,8001 Ledge Ave Sun Valley CA 91352,34.216264,-118.35876
135th Street Elementary,90247,K- 5,S,1-Dr George J McKenna III,801 W 135th St Gardena CA 90247,33.9094051,-118.2896156
Panorama Senior High,91402,9-12,NE,6-Kelly Gonez,8015 Van Nuys Bl Panorama City CA 91402,34.2164436,-118.44914479999998
Park Avenue Elementary DL Two-Way Im Spanish,90201,K- K,E,5-Jackie Goldberg,8020 Park Av Cudahy CA 90201,33.960181299999995,-118.1737501
Euclid Avenue Elementary,90023,K- 5,E,2-Monica Garcia,806 Euclid Ave Los Angeles CA 90023,34.030837299999995,-118.2069507
Coeur D Alene Avenue Elementary,90291,K- 5,W,4-Nick Melvoin,810 Coeur D Alene Ave Venice CA 90291,33.989393,-118.4534063
Animo James B Taylor Charter Middle School,90059,6- 6,XR,7-Dr Richard A Vladovic,810 E 111th Pl Los Angeles CA 90059,33.9349481,-118.2601084
Burton Street Elementary,91402,K- 5,NE,6-Kelly Gonez,8111 Calhoun Ave Panorama City CA 91402,34.2187162,-118.4421899
Capistrano Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,8118 Capistrano Ave West Hills CA 91304,34.216656,-118.616379
Grover Cleveland Charter High School,91335,9-12,NW,3-Scott M Schmerelson,8140 Vanalden Ave Reseda CA 91335,34.2177514,-118.547707
San Pascual Avenue Elementary STEAM Magnet,90042,K- 5,C,5-Jackie Goldberg,815 San Pascual Ave Los Angeles CA 90042,34.11881339999999,-118.1721505
Michelle Obama Elementary School,91402,K- 5,NE,6-Kelly Gonez,8150 Cedros Ave Panorama City CA 91402,34.2189562,-118.4531438
52nd Street Elementary,90037,K- 5,W,1-Dr George J McKenna III,816 W 51st St Los Angeles CA 90037,33.9962357,-118.2880627
Animo Venice Charter High School,90291,9-12,XR,4-Nick Melvoin,820 Broadway St Venice CA 90291,33.9970333,-118.4633597
Benjamin Franklin High School,90042,6-12,C,5-Jackie Goldberg,820 N Avenue 54 Los Angeles CA 90042,34.11570379999999,-118.1988142
Joaquin Miller Career and Transition Center,91335,12-12,NW,3-Scott M Schmerelson,8218 Vanalden Ave Reseda CA 91335,34.2201521,-118.54851809999998
32nd Street USC Performing Arts Magnet,90007,K- 5,C,1-Dr George J McKenna III,822 W 32nd St Los Angeles CA 90007,34.0245568,-118.2825494
Winnetka Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,8240 Winnetka Ave Winnetka CA 91306,34.2193619,-118.570024
Augustus F Hawkins SH - Critical Design and Gaming School,90044,9-12,W,1-Dr George J McKenna III,825 W 60th St Los Angeles CA 90044,33.9857852,-118.2883825
Animo Pat Brown,90001,9-12,XR,7-Dr Richard A Vladovic,8255 Beach St Los Angeles CA 90001,33.9629838,-118.2426118
Van Deene Avenue Elementary,90502,K- 6,S,7-Dr Richard A Vladovic,826 W Javelin St Torrance CA 90502,33.8386617,-118.2884281
Gulf Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,828 W L St Wilmington CA 90744,33.785484999999994,-118.272723
Loren Miller Elementary,90044,K- 6,S,1-Dr George J McKenna III,830 W 77th St Los Angeles CA 90044,33.9696084,-118.28839209999998
KIPP Philosophers Academy,90001,5- 7,XR,7-Dr Richard A Vladovic,8300 S Central Ave Los Angeles CA 90001,33.9633181,-118.2560429
William R Anton Elementary DL Two-Way Im Spanish,90019,K- K,E,2-Monica Garcia,831 N Bonnie Beach Pl Los Angeles CA 90019,34.046637200000006,-118.1816567
Amanecer Primary Center,90023,K- 2,E,2-Monica Garcia,832 S Eastman Ave Los Angeles CA 90023,34.0244468,-118.1858612
Noble Avenue Elementary,91343,K- 5,NE,6-Kelly Gonez,8329 Noble Ave North Hills CA 91343,34.223053,-118.46174
9th Street Elementary,90021,K- 5,C,2-Monica Garcia,835 Stanford Ave Los Angeles CA 90021,34.035713200000004,-118.2475914
Sunland Elementary,91040,K- 5,NE,6-Kelly Gonez,8350 Hillrose St Sunland CA 91040,34.262473799999995,-118.3144218
Castelar Street Elementary,90012,K- 5,C,2-Monica Garcia,840 Yale St Los Angeles CA 90012,34.064052000000004,-118.2397486
Kentwood Elementary,90045,K- 5,W,4-Nick Melvoin,8401 Emerson Ave Los Angeles CA 90045,33.962148,-118.404979
Graham Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,8407 S Fir Ave Los Angeles CA 90001,33.9615506,-118.2379061
Independence Elementary DL Two-Way Im Spanish,90280,K- 1,E,5-Jackie Goldberg,8435 Victoria Ave South Gate CA 90280,33.959584,-118.210748
KIPP Empower Academy,90003,K- 3,XR,1-Dr George J McKenna III,8466 S Figueroa St Los Angeles CA 90003,33.961730100000004,-118.2825122
KIPP Academy of Opportunity,90003,5- 8,XR,1-Dr George J McKenna III,8500 S Figueroa St Los Angeles CA 90003,33.9612051,-118.2823992
Richard E Byrd Middle School,91352,6- 8,NE,6-Kelly Gonez,8501 Arleta Ave Sun Valley CA 91352,34.2239176,-118.4079184
TEACH Prep Cunningham & Morris Elem,90047,K- 1,XR,1-Dr George J McKenna III,8505 S Western Av Los Angeles CA 90047,33.9606865,-118.3093945
South Park Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,8510 Towne Ave Los Angeles CA 90003,33.960869,-118.266234
Wonderland Avenue Elementary,90046,K- 5,W,4-Nick Melvoin,8510 Wonderland Ave Los Angeles CA 90046,34.114044,-118.38002790000002
Charles Drew Middle School,90001,7- 8,S,7-Dr Richard A Vladovic,8511 Compton Ave Los Angeles CA 90001,33.9614015,-118.24800259999998
Alliance Piera Barbaglia Shaheen Health,90044,9-12,XR,1-Dr George J McKenna III,8515 Kansas Ave Los Angeles CA 90044,33.9602855,-118.29422350000002
Limerick Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,8530 Limerick Ave Winnetka CA 91306,34.225518,-118.582101
Washington Primary Center,90044,K- 2,S,1-Dr George J McKenna III,860 W 112th St Los Angeles CA 90044,33.932968100000004,-118.2908945
Panorama City Elementary,91402,K- 5,NW,6-Kelly Gonez,8600 Kester Ave Panorama City CA 91402,34.2272997,-118.456893
Danny J Bakewell Sr Primary Center,90044,K- K,S,1-Dr George J McKenna III,8621 S Baring Cross St Los Angeles CA 90044,33.9593523,-118.2896924
San Gabriel Avenue Elementary DL Two-Way Im Spanish,90280,K- 1,E,5-Jackie Goldberg,8628 San Gabriel Av South Gate CA 90280,33.955902200000004,-118.2016199
Odyssey Continuation High,90280,9-12,E,5-Jackie Goldberg,8693 Dearborn Ave South Gate CA 90280,33.9552835,-118.2112231
Katherine Johnson STEM Academy,90045,6- 8,W,4-Nick Melvoin,8701 Parkhill Dr Los Angeles CA 90045,33.9571099,-118.42803290000002
La Salle Avenue Elementary,90047,K- 5,W,1-Dr George J McKenna III,8715 La Salle Ave Los Angeles CA 90047,33.958111200000005,-118.3060527
Mervyn M Dymally Senior High,90003,9-12,S,7-Dr Richard A Vladovic,8800 S San Pedro St Los Angeles CA 90003,33.9577994,-118.2690616
Langdon Avenue Elementary,91343,K- 5,NW,6-Kelly Gonez,8817 Langdon Ave North Hills CA 91343,34.2309505,-118.4701918
Loyola Village Elementary Fine/Performing Arts Magnet,90045,K- 5,W,4-Nick Melvoin,8821 Villanova Ave Los Angeles CA 90045,33.957623,-118.421267
Rosa Parks Learning Center,91343,K- 5,NW,6-Kelly Gonez,8855 Noble Ave North Hills CA 91343,34.23133869999999,-118.46138159999998
Dr Owen Lloyd Knox Elementary School,90003,K- 6,S,7-Dr Richard A Vladovic,8919 S Main St Los Angeles CA 90003,33.954806,-118.274214
Fenton Charter Leadership Academy,91352,K- 5,XR,6-Kelly Gonez,8926 Sunland Blvd Sun Valley CA 91352,34.231257799999995,-118.3661004
Aspire Firestone Academy,90280,K- 5,XR,5-Jackie Goldberg,8929 Kauffman Ave South Gate CA 90280,33.951812200000006,-118.1893801
Harmony Elementary School,90011,K- 5,C,5-Jackie Goldberg,899 E 42nd Pl Los Angeles CA 90011,34.0071004,-118.26057620000002
Quincy Jones Elementary,90011,K- 5,C,2-Monica Garcia,900 E 33rd St Los Angeles CA 90011,34.0141071,-118.25986
Valor Academy Middle School,91343,5- 8,XR,6-Kelly Gonez,9034 Burnet Ave North Hills CA 91343,34.234842,-118.4627182
Primary Academy for Success School,91402,K- 2,NW,6-Kelly Gonez,9075 Willis Ave Panorama City CA 91402,34.2349969,-118.4555976
KIPP Ignite Academy,90002,K- 1,XR,7-Dr Richard A Vladovic,9110 S Central Ave Los Angeles CA 90002,33.953556299999995,-118.2561798
Youth Opportunities Unlimited,90044,9-12,S,1-Dr George J McKenna III,915 W Manchester Ave Los Angeles CA 90044,33.960265,-118.29034640000002
Sun Valley Senior High,91352,9-12,NE,6-Kelly Gonez,9171 Telfair Ave Sun Valley CA 91352,34.236040100000004,-118.3970269
Cheviot Hills Continuation High,90034,9-12,W,1-Dr George J McKenna III,9200 Cattaraugus Ave Los Angeles CA 90034,34.0350474,-118.3920692
92nd Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9211 Grape St Los Angeles CA 90002,33.9527075,-118.2366462
James Monroe Senior High,91343,9-12,NW,6-Kelly Gonez,9229 Haskell Ave North Hills CA 91343,34.237581,-118.4781553
Canfield Avenue Elementary,90035,K- 5,W,1-Dr George J McKenna III,9233 Airdrome St Los Angeles CA 90035,34.0500516,-118.3904769
Dearborn Elementary Charter Academy,91325,K- 5,NW,3-Scott M Schmerelson,9240 Wish Ave Northridge CA 91325,34.2386363,-118.5081515
Laurel Elementary,90046,K- 8,W,4-Nick Melvoin,925 N Hayworth Ave Los Angeles CA 90046,34.0876581,-118.3629084
Highland Park Continuation High,90042,9-12,C,5-Jackie Goldberg,928 N Avenue 53 Los Angeles CA 90042,34.1174318,-118.2012892
Hubert Howe Bancroft Middle School Gifted STEAM Magnet,90038,6- 8,W,4-Nick Melvoin,929 N Las Palmas Ave Los Angeles CA 90038,34.0887898,-118.3374512
Gerald A Lawson Academy of the Arts Math Science Elementary,90044,K- 6,W,1-Dr George J McKenna III,929 W 69th St Los Angeles CA 90044,33.9775289,-118.290264
Carlos Santana Arts Academy,91343,K- 5,NW,6-Kelly Gonez,9301 Columbus Ave North Hills CA 91343,34.239504100000005,-118.4650979
Bret Harte Preparatory Middle School,90044,6- 8,W,1-Dr George J McKenna III,9301 S Hoover St Los Angeles CA 90044,33.951468,-118.288093
KIPP Corazon Preparatory Academy,90280,K- 1,XR,5-Jackie Goldberg,9325 Long Beach Bl South Gate CA 90280,33.9509315,-118.2181289
Plummer Elementary,91343,K- 6,NW,6-Kelly Gonez,9340 Noble Ave North Hills CA 91343,34.240065,-118.459904
Oliver Wendell Holmes Middle School,91325,6- 8,NW,3-Scott M Schmerelson,9351 Paso Robles Ave Northridge CA 91325,34.240586,-118.506366
Valor Academy High School,91343,9- 9,XR,6-Kelly Gonez,9356 Lemona Ave North Hills CA 91343,34.240948,-118.4587483
Liggett Street Elementary,91402,K- 5,NW,6-Kelly Gonez,9373 Moonbeam Ave Panorama City CA 91402,34.2408118,-118.4460511
Vena Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9377 Vena Ave Arleta CA 91331,34.239830100000006,-118.4207359
Bert Corona Charter School,91331,6- 8,XR,6-Kelly Gonez,9400 Remick Ave Pacoima CA 91331,34.24087069999999,-118.4158815
Olympic Primary Center,90015,K- K,C,2-Monica Garcia,950 S Albany St Los Angeles CA 90015,34.0479849,-118.2706147
Downtown Value School,90015,K- 8,XR,2-Monica Garcia,950 W Washington Blvd Los Angeles CA 90015,34.037303,-118.279433
Vine Street Elementary,90038,K- 6,W,4-Nick Melvoin,955 N Vine St Los Angeles CA 90038,34.088233200000005,-118.3269719
Northridge Academy Senior High,91325,9-12,NW,3-Scott M Schmerelson,9601 Zelzah Ave Northridge CA 91325,34.2452244,-118.5244384
West Hollywood Elementary,90069,K- 5,W,4-Nick Melvoin,970 N Hammond St West Hollywood CA 90069,34.0891284,-118.3873362
Alliance College Ready Middle Academy #4,90003,6- 8,XR,7-Dr Richard A Vladovic,9719 S Main St Los Angeles CA 90003,33.9476371,-118.2743145
Tweedy Elementary,90280,K- 5,E,5-Jackie Goldberg,9724 Pinehurst Ave South Gate CA 90280,33.9431147,-118.1824336
Castle Heights Elementary,90034,K- 5,W,1-Dr George J McKenna III,9755 Cattaraugus Ave Los Angeles CA 90034,34.038346999999995,-118.39824099999998
Superior Street Elementary,91311,K- 5,NW,3-Scott M Schmerelson,9756 Oso Ave Chatsworth CA 91311,34.247319,-118.574538
Beachy Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9757 Beachy Ave Arleta CA 91331,34.247666100000004,-118.4381925
Hobart Boulevard Elementary DL Two-Way Im Spanish,90006,K- K,C,2-Monica Garcia,980 S Hobart Bl Los Angeles CA 90006,34.053174,-118.305998
San Miguel Elementary DL World Lang Im Mandarin,90280,K- K,E,5-Jackie Goldberg,9801 San Miguel Av South Gate CA 90280,33.9453079,-118.2009645
Wadsworth Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,981 E 41st St Los Angeles CA 90011,34.0095555,-118.2586289
Topeka Drive Charter for Advanced Studies,91324,K- 5,NW,3-Scott M Schmerelson,9815 Topeka Dr Northridge CA 91324,34.247694,-118.546406
Madison Elementary,90280,K- 5,E,5-Jackie Goldberg,9820 Madison Ave South Gate CA 90280,33.9457291,-118.21451299999998
Stonehurst Avenue Elementary STEAM Magnet,91352,K- 5,NE,6-Kelly Gonez,9851 Stonehurst Ave Sun Valley CA 91352,34.2496658,-118.3698894
Mariposa-Nabi Primary Center,90006,K- 2,C,2-Monica Garcia,987 S Mariposa Ave Los Angeles CA 90006,34.05309210000001,-118.2992149
99th Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9900 S Wadsworth Ave Los Angeles CA 90002,33.946302,-118.25828119999998
Pacoima Middle School,91331,6- 8,NE,6-Kelly Gonez,9919 Laurel Canyon Blvd Pacoima CA 91331,34.2499469,-118.42327579999998
Alfred B Nobel Charter Middle School,91324,6- 8,NW,3-Scott M Schmerelson,9950 Tampa Ave Northridge CA 91324,34.251085,-118.551358
